Car,Purchase price,Sale price,Transport time,Country
80,9072,11353,"0"" 12ays""",Ireland
81,22716,46312,"0"" 03ays""",Italy
82,8737,11846,"0"" 31ays""",Finland
83,7324,12730,"0"" 12ays""",Cyprus
84,13848,36271,"0"" 09ays""",Finland
85,22767,39504,"0"" 22ays""",Romania
86,14716,20446,"0"" 06ays""",Greece
87,14445,31946,"0"" 18ays""",Slovakia
88,7134,8736,"0"" 21ays""",Hungary
89,14115,26902,"0"" 08ays""",Germany
90,21882,30458,"0"" 12ays""",Hungary
91,22855,28407,"0"" 11ays""",Malta
92,27209,62300,"0"" 11ays""",Germany
93,24851,67348,"0"" 21ays""",Slovenia
94,24636,61048,"0"" 09ays""",Bulgaria
95,26831,63274,"0"" 10ays""",Lithuania
96,8779,16337,"0"" 13ays""",Portugal
97,21441,63599,"0"" 17ays""",Lithuania
98,20469,32134,"0"" 13ays""",Cyprus
99,23427,61445,"0"" 07ays""",Austria
100,5566,11897,"0"" 04ays""",Luxembourg
101,8841,23166,"0"" 12ays""",Ireland
102,21128,64973,"0"" 04ays""",Poland
103,13079,17695,"0"" 13ays""",Slovenia
104,5710,13426,"0"" 08ays""",Italy
105,13553,33197,"0"" 19ays""",Denmark
106,24693,72459,"0"" 20ays""",Slovenia
107,6895,18615,"0"" 21ays""",The Netherlands
108,6094,12956,"0"" 22ays""",Austria
109,19376,43571,"0"" 02ays""",Germany
110,6172,19533,"0"" 18ays""",The Netherlands
111,10220,23169,"0"" 22ays""",The Netherlands
112,19017,53110,"0"" 31ays""",Sweden
113,23438,53822,"0"" 09ays""",Sweden
114,23775,32547,"0"" 17ays""",Sweden
115,29170,52273,"0"" 31ays""",Greece
116,23762,33006,"0"" 22ays""",Latvia
117,18321,33475,"0"" 22ays""",Czech Republic
118,18138,43962,"0"" 19ays""",Slovakia
119,25479,42261,"0"" 13ays""",Romania
120,9550,18690,"0"" 13ays""",Slovenia
121,23938,46571,"0"" 13ays""",Czech Republic
122,10733,19262,"0"" 10ays""",Luxembourg
123,19991,41652,"0"" 07ays""",Croatia
124,5648,16991,"0"" 31ays""",Hungary
125,12739,37388,"0"" 06ays""",Lithuania
126,12301,34433,"0"" 07ays""",Spain
127,19457,36406,"0"" 12ays""",Denmark
128,24960,76437,"0"" 16ays""",Denmark
129,22863,45851,"0"" 12ays""",Czech Republic
130,26345,47863,"0"" 22ays""",Czech Republic
131,19649,62453,"0"" 31ays""",Lithuania
132,16240,37128,"0"" 31ays""",Denmark
133,21395,37149,"0"" 05ays""",Poland
134,6033,14816,"0"" 08ays""",Czech Republic
135,8580,10783,"0"" 08ays""",Greece
136,15824,20293,"0"" 04ays""",Italy
137,7804,12522,"0"" 05ays""",Slovenia
138,28334,73715,"0"" 19ays""",Poland
139,15417,45937,"0"" 05ays""",Finland
140,13205,39970,"0"" 19ays""",Belgium
141,21675,37275,"0"" 04ays""",Sweden
142,17546,54654,"0"" 04ays""",Germany
143,24688,69888,"0"" 11ays""",Croatia
144,28181,79733,"0"" 03ays""",Austria
145,9056,28179,"0"" 13ays""",Ireland
146,5660,14642,"0"" 01ays""",Greece
147,26302,50291,"0"" 10ays""",Portugal
148,25587,39586,"0"" 04ays""",Belgium
149,20170,26575,"0"" 10ays""",Malta
150,24655,33975,"0"" 21ays""",Latvia
151,23534,51814,"0"" 19ays""",Denmark
152,25292,68150,"0"" 09ays""",Luxembourg
153,13191,26511,"0"" 13ays""",Spain
154,23513,47683,"0"" 12ays""",Luxembourg
155,6803,21732,"0"" 16ays""",The Netherlands
156,23459,62927,"0"" 05ays""",Sweden
157,22667,56022,"0"" 31ays""",Finland
158,26059,78954,"0"" 11ays""",Ireland
159,14055,23005,"0"" 09ays""",Bulgaria
160,20541,42841,"0"" 18ays""",France
161,10488,32363,"0"" 16ays""",Sweden
162,12304,38954,"0"" 06ays""",Estonia
163,5305,12598,"0"" 11ays""",France
164,11052,22070,"0"" 31ays""",Poland
165,20460,58005,"0"" 15ays""",Poland
166,23808,47703,"0"" 03ays""",Denmark
167,8346,13055,"0"" 05ays""",Belgium
168,16397,50553,"0"" 01ays""",Greece
169,28306,78837,"0"" 13ays""",Belgium
170,21375,66506,"0"" 16ays""",Belgium
171,28082,65575,"0"" 07ays""",Cyprus
172,20959,43052,"0"" 21ays""",The Netherlands
173,26683,37657,"0"" 21ays""",Greece
174,18801,53766,"0"" 01ays""",France
175,8259,23368,"0"" 05ays""",Ireland
176,8711,18741,"0"" 06ays""",Greece
177,14624,26240,"0"" 06ays""",Portugal
178,11776,33988,"0"" 03ays""",Ireland
179,27785,74746,"0"" 10ays""",France
180,19098,51488,"0"" 08ays""",Bulgaria
181,6416,11875,"0"" 10ays""",Slovenia
182,18409,38515,"0"" 09ays""",Germany
183,22652,55752,"0"" 15ays""",Croatia
184,19678,33123,"0"" 31ays""",Poland
185,22995,28051,"0"" 06ays""",Latvia
186,17367,24906,"0"" 15ays""",Poland
187,20483,46262,"0"" 07ays""",Lithuania
188,19355,57808,"0"" 12ays""",Ireland
189,20457,26335,"0"" 22ays""",Croatia
190,18651,29417,"0"" 20ays""",France
191,28977,56058,"0"" 13ays""",Poland
192,23077,33597,"0"" 14ays""",Romania
193,5996,18881,"0"" 18ays""",Spain
194,11378,34796,"0"" 02ays""",Poland
195,24467,59565,"0"" 31ays""",Portugal
196,21432,37886,"0"" 05ays""",Cyprus
197,22128,62223,"0"" 15ays""",Denmark
198,14206,37417,"0"" 06ays""",Estonia
199,25392,63133,"0"" 17ays""",Bulgaria
200,16101,27451,"0"" 05ays""",Cyprus
201,20795,47555,"0"" 19ays""",Spain
202,28861,53742,"0"" 21ays""",Hungary
203,7055,20892,"0"" 04ays""",Slovakia
204,15564,43289,"0"" 14ays""",Latvia
205,21923,69896,"0"" 19ays""",The Netherlands
206,5135,11469,"0"" 31ays""",Lithuania
207,20920,60215,"0"" 03ays""",Greece
208,7950,22925,"0"" 11ays""",Bulgaria
209,17739,35588,"0"" 04ays""",Romania
210,18229,48331,"0"" 13ays""",Italy
211,8432,26413,"0"" 21ays""",Portugal
212,10250,31591,"0"" 22ays""",Hungary
213,25364,43510,"0"" 02ays""",Spain
214,17295,27562,"0"" 12ays""",Latvia
215,19851,61976,"0"" 20ays""",Czech Republic
216,10434,17959,"0"" 17ays""",Luxembourg
217,5017,14460,"0"" 19ays""",Spain
218,10871,34053,"0"" 12ays""",The Netherlands
219,25099,60618,"0"" 04ays""",Croatia
220,28084,66027,"0"" 20ays""",Ireland
221,24926,67725,"0"" 07ays""",Czech Republic
222,14760,46037,"0"" 04ays""",The Netherlands
223,5405,8216,"0"" 22ays""",France
224,19797,54086,"0"" 18ays""",Austria
225,13616,43492,"0"" 19ays""",Poland
226,23936,70214,"0"" 18ays""",Latvia
227,25405,51078,"0"" 07ays""",Greece
228,5495,14370,"0"" 15ays""",Lithuania
229,8982,13495,"0"" 19ays""",Lithuania
230,25535,77331,"0"" 03ays""",Croatia
231,9900,25884,"0"" 10ays""",Bulgaria
232,9493,17233,"0"" 02ays""",The Netherlands
233,25971,63676,"0"" 13ays""",Croatia
234,28718,45446,"0"" 08ays""",Estonia
235,21992,37733,"0"" 10ays""",Belgium
236,13582,30016,"0"" 11ays""",Belgium
237,25504,78296,"0"" 01ays""",Spain
238,18015,42488,"0"" 14ays""",Germany
239,7379,21649,"0"" 06ays""",Latvia
240,6169,11290,"0"" 03ays""",Finland
241,21030,31147,"0"" 21ays""",Portugal
242,14393,21257,"0"" 05ays""",Finland
243,6330,9141,"0"" 10ays""",Estonia
244,27055,43817,"0"" 18ays""",Czech Republic
245,29113,70652,"0"" 10ays""",Hungary
246,9866,23089,"0"" 17ays""",France
247,5211,7512,"0"" 06ays""",Finland
248,26364,77914,"0"" 21ays""",Finland
249,10926,21423,"0"" 05ays""",Hungary
250,6191,16718,"0"" 02ays""",Portugal
251,9791,17691,"0"" 22ays""",Cyprus
252,7404,13726,"0"" 13ays""",The Netherlands
253,26792,73546,"0"" 08ays""",Ireland
254,8131,20959,"0"" 03ays""",Croatia
255,7500,15762,"0"" 15ays""",Italy
256,24055,41765,"0"" 14ays""",Cyprus
257,10262,13853,"0"" 14ays""",Croatia
258,17077,28049,"0"" 13ays""",Slovenia
259,27272,55199,"0"" 21ays""",Slovakia
260,15181,22712,"0"" 09ays""",The Netherlands
261,28354,90103,"0"" 15ays""",Hungary
262,8833,20861,"0"" 22ays""",Denmark
263,9974,26499,"0"" 14ays""",Latvia
264,10387,31453,"0"" 06ays""",Belgium
265,9072,14329,"0"" 03ays""",Malta
266,29534,72724,"0"" 17ays""",Cyprus
267,26672,66314,"0"" 08ays""",Luxembourg
268,11523,25719,"0"" 31ays""",Bulgaria
269,26775,55326,"0"" 12ays""",Lithuania
270,8937,14500,"0"" 21ays""",Sweden
271,27017,84445,"0"" 21ays""",France
272,27714,67346,"0"" 08ays""",Lithuania
273,24954,35308,"0"" 18ays""",Finland
274,28985,37204,"0"" 22ays""",Poland
275,22935,68846,"0"" 11ays""",Croatia
276,7523,21666,"0"" 01ays""",Lithuania
277,10067,12298,"0"" 31ays""",Germany
278,18041,47792,"0"" 06ays""",France
279,25303,30396,"0"" 01ays""",Cyprus
280,29703,63642,"0"" 19ays""",Bulgaria
281,22352,37573,"0"" 11ays""",Hungary
282,16049,27421,"0"" 13ays""",Latvia
283,25885,73005,"0"" 06ays""",Hungary
284,24824,61230,"0"" 16ays""",Croatia
285,13343,19888,"0"" 01ays""",Germany
286,9038,11858,"0"" 19ays""",Latvia
287,13280,29989,"0"" 09ays""",Poland
288,19482,38754,"0"" 12ays""",Czech Republic
289,6995,20412,"0"" 15ays""",Greece
290,8016,18205,"0"" 11ays""",Belgium
291,16650,38360,"0"" 31ays""",Austria
292,29584,54290,"0"" 03ays""",Latvia
293,5854,14899,"0"" 31ays""",Hungary
294,12808,33962,"0"" 17ays""",Italy
295,25612,69815,"0"" 17ays""",Greece
296,29291,43729,"0"" 11ays""",Poland
297,24601,43416,"0"" 01ays""",Portugal
298,28455,36144,"0"" 01ays""",Romania
299,16587,42387,"0"" 22ays""",Bulgaria
300,6363,16367,"0"" 18ays""",Czech Republic
301,19230,41805,"0"" 13ays""",Latvia
302,26831,59504,"0"" 11ays""",Czech Republic
303,8055,23282,"0"" 22ays""",The Netherlands
304,9871,19852,"0"" 09ays""",Cyprus
305,21034,53479,"0"" 03ays""",Latvia
306,12177,18803,"0"" 07ays""",Bulgaria
307,28555,35432,"0"" 10ays""",Estonia
308,29673,90425,"0"" 06ays""",Poland
309,5402,11400,"0"" 14ays""",Finland
310,25649,37686,"0"" 19ays""",Cyprus
311,8719,19047,"0"" 13ays""",Cyprus
312,18506,35053,"0"" 12ays""",Romania
313,13909,23944,"0"" 21ays""",Portugal
314,9941,14302,"0"" 20ays""",Ireland
315,26187,35396,"0"" 07ays""",Spain
316,25880,69273,"0"" 06ays""",Germany
317,17724,48893,"0"" 03ays""",Sweden
318,14884,40911,"0"" 09ays""",Hungary
319,11892,28670,"0"" 11ays""",Poland
320,10059,29780,"0"" 21ays""",Belgium
321,7827,16160,"0"" 02ays""",Malta
322,9815,19415,"0"" 19ays""",Lithuania
323,26355,82911,"0"" 04ays""",Bulgaria
324,27988,86648,"0"" 07ays""",Poland
325,26496,33413,"0"" 09ays""",Bulgaria
326,9255,25189,"0"" 18ays""",Lithuania
327,29825,65560,"0"" 13ays""",Denmark
328,24526,72600,"0"" 11ays""",Slovenia
329,19081,27940,"0"" 05ays""",Luxembourg
330,14444,45321,"0"" 21ays""",Ireland
331,15441,45080,"0"" 16ays""",Ireland
332,5889,17896,"0"" 18ays""",Cyprus
333,15893,31957,"0"" 05ays""",Italy
334,24808,73049,"0"" 21ays""",The Netherlands
335,28315,73785,"0"" 07ays""",Finland
336,7312,22085,"0"" 10ays""",Germany
337,24684,43991,"0"" 10ays""",Portugal
338,27837,69761,"0"" 21ays""",Luxembourg
339,7553,12181,"0"" 20ays""",Cyprus
340,16737,49801,"0"" 01ays""",Bulgaria
341,17130,29534,"0"" 17ays""",Croatia
342,14432,40261,"0"" 10ays""",Malta
343,6415,18275,"0"" 01ays""",Bulgaria
344,15486,23024,"0"" 12ays""",Croatia
345,9502,16099,"0"" 15ays""",France
346,6726,14589,"0"" 06ays""",Bulgaria
347,5769,9987,"0"" 13ays""",Slovakia
348,7845,9945,"0"" 16ays""",Ireland
349,5302,7325,"0"" 07ays""",Ireland
350,8458,12710,"0"" 10ays""",Czech Republic
351,23749,72972,"0"" 13ays""",Croatia
352,17054,33848,"0"" 01ays""",Finland
353,10636,28371,"0"" 21ays""",Belgium
354,14888,38853,"0"" 11ays""",Croatia
355,25393,75949,"0"" 31ays""",Latvia
356,24767,37638,"0"" 05ays""",Cyprus
357,13386,19457,"0"" 15ays""",Belgium
358,22415,27387,"0"" 06ays""",Romania
359,27496,41719,"0"" 19ays""",Slovenia
360,8699,14251,"0"" 08ays""",Finland
361,28907,67149,"0"" 13ays""",Belgium
362,5830,8892,"0"" 15ays""",Ireland
363,18498,57822,"0"" 13ays""",The Netherlands
364,20834,27323,"0"" 10ays""",Croatia
365,14099,44718,"0"" 12ays""",Spain
366,15765,31709,"0"" 18ays""",Malta
367,28783,57148,"0"" 16ays""",Poland
368,22438,41831,"0"" 09ays""",Bulgaria
369,20724,60149,"0"" 11ays""",Slovenia
370,22727,38341,"0"" 12ays""",Luxembourg
371,26802,49881,"0"" 04ays""",Bulgaria
372,26360,39186,"0"" 07ays""",Italy
373,9887,17752,"0"" 10ays""",Portugal
374,22867,70916,"0"" 06ays""",Germany
375,9878,18817,"0"" 06ays""",Germany
376,19699,54493,"0"" 18ays""",Slovakia
377,21154,50623,"0"" 04ays""",Denmark
378,28591,70662,"0"" 11ays""",Poland
379,9497,13875,"0"" 01ays""",Portugal
380,28817,81182,"0"" 17ays""",Hungary
381,29268,57521,"0"" 08ays""",France
382,29215,74225,"0"" 15ays""",Germany
383,9880,28154,"0"" 07ays""",Bulgaria
384,17933,53903,"0"" 19ays""",Bulgaria
385,11312,30864,"0"" 12ays""",Finland
386,20618,42751,"0"" 07ays""",Sweden
387,25534,69540,"0"" 04ays""",Malta
388,27374,50672,"0"" 20ays""",Germany
389,25917,78833,"0"" 13ays""",Poland
390,7311,18242,"0"" 09ays""",Estonia
391,6804,19624,"0"" 02ays""",Germany
392,29228,71859,"0"" 05ays""",Cyprus
393,17423,53020,"0"" 05ays""",Austria
394,14811,39729,"0"" 10ays""",Croatia
395,6265,17065,"0"" 22ays""",Latvia
396,24113,54918,"0"" 20ays""",Austria
397,19266,38654,"0"" 17ays""",Denmark
398,17353,49479,"0"" 31ays""",Italy
399,8748,27128,"0"" 20ays""",Lithuania
400,23718,40332,"0"" 16ays""",Czech Republic
401,12188,31339,"0"" 19ays""",Romania
402,16132,33094,"0"" 31ays""",Spain
403,12389,38138,"0"" 15ays""",Estonia
404,27170,79594,"0"" 18ays""",Malta
405,10583,16018,"0"" 10ays""",Sweden
406,25584,47911,"0"" 20ays""",Hungary
407,19682,56810,"0"" 19ays""",Luxembourg
408,23943,55179,"0"" 15ays""",Romania
409,9401,23377,"0"" 14ays""",Sweden
410,5175,11129,"0"" 07ays""",Denmark
411,7582,15390,"0"" 22ays""",Slovakia
412,13254,36678,"0"" 08ays""",Ireland
413,13586,30104,"0"" 07ays""",Spain
414,7623,16478,"0"" 06ays""",Ireland
415,24078,43407,"0"" 13ays""",Lithuania
416,18430,58391,"0"" 21ays""",Italy
417,20872,40598,"0"" 02ays""",Bulgaria
418,16658,50303,"0"" 13ays""",Cyprus
419,20401,47900,"0"" 17ays""",Croatia
420,23925,48043,"0"" 17ays""",Hungary
421,13099,18922,"0"" 11ays""",Portugal
422,24160,71476,"0"" 02ays""",Czech Republic
423,25290,30838,"0"" 16ays""",Greece
424,23983,52989,"0"" 20ays""",Greece
425,9535,11990,"0"" 13ays""",Poland
426,17339,50800,"0"" 01ays""",Hungary
427,19369,59640,"0"" 17ays""",Luxembourg
428,26342,54979,"0"" 21ays""",Hungary
429,26100,80551,"0"" 09ays""",France
430,15583,33536,"0"" 10ays""",Cyprus
431,11847,16560,"0"" 08ays""",Lithuania
432,17531,36050,"0"" 19ays""",Luxembourg
433,15407,33013,"0"" 05ays""",Bulgaria
434,20133,62020,"0"" 05ays""",Denmark
435,14001,29028,"0"" 16ays""",Portugal
436,10765,21678,"0"" 07ays""",Ireland
437,22491,42192,"0"" 07ays""",Sweden
438,27334,71070,"0"" 17ays""",Cyprus
439,24811,73239,"0"" 12ays""",Germany
440,21956,46219,"0"" 06ays""",Hungary
441,14400,32399,"0"" 08ays""",Germany
442,12122,20816,"0"" 07ays""",France
443,26561,53208,"0"" 02ays""",Slovakia
444,29043,50364,"0"" 17ays""",Hungary
445,10558,14933,"0"" 10ays""",Lithuania
446,25418,65525,"0"" 12ays""",Belgium
447,28863,72352,"0"" 17ays""",Czech Republic
448,26539,42749,"0"" 16ays""",Belgium
449,29480,36512,"0"" 20ays""",Italy
450,27212,81706,"0"" 16ays""",Austria
451,5626,7349,"0"" 07ays""",Greece
452,21956,48589,"0"" 21ays""",Spain
453,17352,46279,"0"" 13ays""",Cyprus
454,6791,9259,"0"" 06ays""",Luxembourg
455,20760,52956,"0"" 15ays""",Malta
456,17294,49586,"0"" 12ays""",Austria
457,9798,18247,"0"" 17ays""",Germany
458,16120,37911,"0"" 01ays""",Austria
459,8645,26297,"0"" 16ays""",Lithuania
460,18823,59880,"0"" 14ays""",Poland
461,13461,22688,"0"" 08ays""",France
462,23058,48004,"0"" 16ays""",Austria
463,19831,27476,"0"" 22ays""",Slovenia
464,27804,59858,"0"" 21ays""",Croatia
465,7930,18704,"0"" 10ays""",Denmark
466,14371,37213,"0"" 17ays""",Italy
467,14501,17632,"0"" 17ays""",Luxembourg
468,14740,43746,"0"" 13ays""",Bulgaria
469,8155,11594,"0"" 20ays""",Romania
470,18522,32440,"0"" 13ays""",Romania
471,6832,19007,"0"" 19ays""",Croatia
472,22995,55996,"0"" 12ays""",Luxembourg
473,19256,41336,"0"" 02ays""",Estonia
474,5567,15684,"0"" 20ays""",Spain
475,20977,63512,"0"" 22ays""",Austria
476,9472,28740,"0"" 11ays""",Estonia
477,13107,41125,"0"" 12ays""",Lithuania
478,17025,42065,"0"" 10ays""",Italy
479,13750,22159,"0"" 15ays""",Czech Republic
480,23589,34420,"0"" 02ays""",Greece
481,18530,35331,"0"" 09ays""",Latvia
482,27916,65261,"0"" 13ays""",Croatia
483,12368,38495,"0"" 07ays""",Hungary
484,27349,70868,"0"" 15ays""",Sweden
485,12699,33056,"0"" 15ays""",Cyprus
486,27088,74717,"0"" 11ays""",Latvia
487,22068,38452,"0"" 22ays""",Hungary
488,18395,39645,"0"" 07ays""",Latvia
489,20616,26520,"0"" 08ays""",Ireland
490,7905,11982,"0"" 20ays""",Spain
491,7365,11456,"0"" 04ays""",Austria
492,16108,47631,"0"" 13ays""",Greece
493,19633,40114,"0"" 04ays""",France
494,23142,44513,"0"" 12ays""",Germany
495,20337,59236,"0"" 09ays""",Estonia
496,25960,35830,"0"" 12ays""",Austria
497,24735,77180,"0"" 03ays""",Italy
498,8025,15407,"0"" 18ays""",Poland
499,25024,53833,"0"" 14ays""",Malta
500,23104,28464,"0"" 20ays""",Malta
501,22563,62178,"0"" 16ays""",Lithuania
502,9123,26151,"0"" 02ays""",Austria
503,20291,41789,"0"" 13ays""",Latvia
504,19694,58012,"0"" 08ays""",Malta
505,5982,13007,"0"" 17ays""",Romania
506,18861,59817,"0"" 17ays""",Germany
507,14867,24471,"0"" 13ays""",Latvia
508,23240,53817,"0"" 16ays""",Slovenia
509,11996,15375,"0"" 18ays""",Lithuania
510,23819,67547,"0"" 12ays""",France
511,19887,34748,"0"" 31ays""",The Netherlands
512,7305,9973,"0"" 07ays""",Romania
513,26232,52699,"0"" 01ays""",Finland
514,28037,86696,"0"" 04ays""",Poland
515,18339,40817,"0"" 15ays""",Italy
516,24275,71489,"0"" 02ays""",Bulgaria
517,12363,34638,"0"" 21ays""",Finland
518,20488,61234,"0"" 14ays""",Sweden
519,7890,22111,"0"" 19ays""",Ireland
520,20924,52784,"0"" 31ays""",Sweden
521,16745,25470,"0"" 02ays""",Slovenia
522,25295,80405,"0"" 22ays""",Sweden
523,10977,22182,"0"" 15ays""",Poland
524,19712,30698,"0"" 04ays""",Slovakia
525,20941,26098,"0"" 02ays""",Finland
526,11646,15866,"0"" 10ays""",France
527,11657,30403,"0"" 31ays""",Italy
528,10073,22196,"0"" 12ays""",Spain
529,11360,26663,"0"" 22ays""",Ireland
530,8442,14127,"0"" 19ays""",Portugal
531,28051,83988,"0"" 20ays""",Cyprus
532,13986,37688,"0"" 11ays""",Finland
533,21612,44308,"0"" 01ays""",France
534,17521,41472,"0"" 05ays""",Ireland
535,26861,76114,"0"" 21ays""",Portugal
536,19366,28314,"0"" 09ays""",Estonia
537,26689,34283,"0"" 09ays""",Croatia
538,23006,53876,"0"" 20ays""",Czech Republic
539,27470,65135,"0"" 17ays""",Czech Republic
540,20650,52745,"0"" 04ays""",Spain
541,9270,24352,"0"" 15ays""",Spain
542,13533,41770,"0"" 12ays""",Ireland
543,15239,34742,"0"" 17ays""",Slovakia
544,7349,19195,"0"" 22ays""",Slovenia
545,19398,34730,"0"" 05ays""",Spain
546,6128,11644,"0"" 07ays""",Cyprus
547,28353,78455,"0"" 02ays""",Luxembourg
548,16364,50687,"0"" 17ays""",Croatia
549,26088,38930,"0"" 13ays""",Finland
550,6429,19536,"0"" 06ays""",Belgium
551,13372,29981,"0"" 09ays""",Luxembourg
552,25599,33367,"0"" 16ays""",Luxembourg
553,29028,48607,"0"" 09ays""",Latvia
554,9813,17240,"0"" 20ays""",Spain
555,20082,37949,"0"" 11ays""",Romania
556,5431,12438,"0"" 22ays""",Poland
557,13476,32565,"0"" 03ays""",Germany
558,15145,27166,"0"" 22ays""",Hungary
559,5101,12424,"0"" 21ays""",Romania
560,14283,41603,"0"" 31ays""",Poland
561,7344,10425,"0"" 13ays""",Cyprus
562,22248,39923,"0"" 15ays""",Spain
563,11402,24633,"0"" 03ays""",Hungary
564,13332,29492,"0"" 14ays""",Belgium
565,29965,59488,"0"" 17ays""",Cyprus
566,27979,71206,"0"" 06ays""",Portugal
567,8767,10963,"0"" 05ays""",Ireland
568,16753,44175,"0"" 20ays""",Hungary
569,23374,38566,"0"" 08ays""",Estonia
570,27721,52371,"0"" 01ays""",Croatia
571,11142,32512,"0"" 05ays""",Greece
572,28346,69510,"0"" 16ays""",Ireland
573,5659,16940,"0"" 20ays""",Cyprus
574,21419,36040,"0"" 05ays""",Denmark
575,18388,52309,"0"" 22ays""",France
576,15025,27493,"0"" 20ays""",Poland
577,19966,40713,"0"" 15ays""",The Netherlands
578,23734,48215,"0"" 20ays""",Malta
579,19512,30600,"0"" 01ays""",Romania
580,9147,21678,"0"" 17ays""",Croatia
581,11412,35408,"0"" 13ays""",Germany
582,11885,16903,"0"" 02ays""",Ireland
583,11771,36482,"0"" 31ays""",Poland
584,28558,90943,"0"" 05ays""",The Netherlands
585,8573,14995,"0"" 31ays""",Poland
586,19622,27446,"0"" 09ays""",Lithuania
587,8483,26538,"0"" 19ays""",Austria
588,13062,21254,"0"" 12ays""",Belgium
589,19648,39736,"0"" 15ays""",Denmark
590,29619,92556,"0"" 03ays""",The Netherlands
591,24222,57447,"0"" 19ays""",Germany
592,22451,65258,"0"" 02ays""",Poland
593,11458,18180,"0"" 31ays""",Estonia
594,15570,23022,"0"" 01ays""",Poland
595,25273,76088,"0"" 21ays""",France
596,5028,8445,"0"" 12ays""",Spain
597,20650,51138,"0"" 17ays""",Spain
598,27705,36029,"0"" 08ays""",Bulgaria
599,13635,32893,"0"" 19ays""",Finland
600,22560,63721,"0"" 18ays""",Spain
601,23755,70420,"0"" 08ays""",Cyprus
602,7146,10686,"0"" 20ays""",Denmark
603,28522,59185,"0"" 03ays""",Croatia
604,25101,72312,"0"" 18ays""",Lithuania
605,18549,56456,"0"" 20ays""",Belgium
606,23932,41192,"0"" 21ays""",Poland
607,20693,45223,"0"" 09ays""",Poland
